# (1)	(2)
# kT	c
9.503759765625000000e+01	6.611669063568115234e-02
9.526316070556640625e+01	6.580820679664611816e-02
9.548872375488281250e+01	6.550184637308120728e-02
9.571428680419921875e+01	6.519755721092224121e-02
9.593984985351562500e+01	6.489536166191101074e-02
9.616541290283203125e+01	6.459523737430572510e-02
9.639097595214843750e+01	6.429711729288101196e-02
9.661653900146484375e+01	6.400104612112045288e-02
9.684210205078125000e+01	6.370697170495986938e-02
9.706767272949218750e+01	6.341487914323806763e-02
9.729323577880859375e+01	6.312475353479385376e-02
9.751879882812500000e+01	6.283658742904663086e-02
9.774436187744140625e+01	6.255037337541580200e-02
9.796992492675781250e+01	6.226604431867599487e-02
9.819548797607421875e+01	6.198363378643989563e-02
9.842105102539062500e+01	6.170310825109481812e-02
9.864661407470703125e+01	6.142445281147956848e-02
9.887217712402343750e+01	6.114764511585235596e-02
9.909774780273437500e+01	6.087266281247138977e-02
9.932331085205078125e+01	6.059950217604637146e-02
9.954887390136718750e+01	6.032816693186759949e-02
9.977443695068359375e+01	6.005861610174179077e-02
1.000000000000000000e+02	5.979080125689506531e-02
